Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;21206;"Nature";journal;"14764687, 00280836";16,345;Q1;1096;2831;8065;47237;122051;4587;24,36;16,69;United Kingdom;"Nature Publishing Group";"1869-ongoing";"Multidisciplinary (Q1)"
2;23571;"Science";journal;"00368075";13,251;Q1;1058;2035;6772;37002;102278;4544;20,57;18,18;United States;"American Association for the Advancement of Science";"1880-ongoing";"History and Philosophy of Science (Q1); Multidisciplinary (Q1)"
3;21100457028;"Science Advances";journal;"23752548";6,267;Q1;72;905;1524;45091;19751;1510;12,53;49,82;United States;"American Association for the Advancement of Science";"2016-ongoing";"Multidisciplinary (Q1)"
4;21121;"Proceedings of the National Academy of Sciences of the United States of America";journal;"10916490, 00278424";5,601;Q1;699;3840;11763;165727;100655;10048;9,35;43,16;United States;"National Academy of Sciences";"1949-1951, 1961-ongoing";"Multidisciplinary (Q1)"
5;21100409368;"National Science Review";journal;"20955138, 2053714X";1,896;Q1;30;129;256;5134;1075;146;6,55;39,80;United Kingdom;"Oxford University Press";"2014-ongoing";"Multidisciplinary (Q1)"
6;21100200805;"Scientific Reports";journal;"20452322";1,414;Q1;149;18062;57398;840487;244910;55418;4,12;46,53;United Kingdom;"Nature Publishing Group";"2011-ongoing";"Multidisciplinary (Q1)"
7;21100446014;"Royal Society Open Science";journal;"20545703";1,131;Q1;28;1033;1360;50195;3674;1316;2,68;48,59;United Kingdom;"The Royal Society";"2014-ongoing";"Multidisciplinary (Q1)"
8;19700168304;"Journal of Advanced Research";journal;"20901232";1,097;Q1;36;52;265;3210;1677;257;5,46;61,73;Egypt;"Cairo University";"2010-ongoing";"Multidisciplinary (Q1)"
9;21100405003;"Science Bulletin";journal;"20959273, 20959281";1,046;Q1;90;263;817;9859;3011;692;5,08;37,49;Netherlands;"Elsevier BV";"2015-ongoing";"Multidisciplinary (Q1)"
10;22367;"Progress in Natural Science: Materials International";journal;"10020071";0,924;Q1;48;102;297;4018;1109;293;3,43;39,39;Japan;"IATSS - International Association of Traffic and Safety Sciences";"1996-ongoing";"Materials Science (miscellaneous) (Q1); Multidisciplinary (Q1)"
11;23100;"Proceedings of the Japan Academy Series B: Physical and Biological Sciences";journal;"13492896, 03862208";0,703;Q1;46;33;123;2140;264;118;1,92;64,85;Japan;"Nippon Gakushiin/Japan Academy";"1996-ongoing";"Agricultural and Biological Sciences (miscellaneous) (Q1); Multidisciplinary (Q1); Medicine (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q2)"
12;12337;"International Journal of Bifurcation and Chaos in Applied Sciences and Engineering";journal;"02181274";0,674;Q1;90;229;830;7759;1779;828;2,31;33,88;Singapore;"World Scientific Publishing Co";"1996-ongoing";"Engineering (miscellaneous) (Q1); Multidisciplinary (Q1); Applied Mathematics (Q2); Modeling and Simulation (Q2)"
13;84932;"Kexue tongbao, Scientia";journal;"00977411";0,596;Q1;1;31;10;1600;13;10;1,30;51,61;United States;"Plenum Publishers";"1963-1964, 1980-1984, 1989, 2016-ongoing";"Multidisciplinary (Q1)"
14;28472;"Fractals";journal;"0218348X";0,556;Q1;36;117;199;4143;565;199;3,15;35,41;Singapore;"World Scientific Publishing Co";"1995-ongoing";"Multidisciplinary (Q1); Applied Mathematics (Q2); Geometry and Topology (Q2); Modeling and Simulation (Q2)"
15;25823;"Complexity";journal;"10762787, 10990526";0,535;Q1;48;759;588;30087;1571;571;2,68;39,64;Egypt;"Hindawi Limited";"2003-ongoing";"Multidisciplinary (Q1)"
16;4400151506;"Eurasip Journal on Bioinformatics and Systems Biology";journal;"16874153, 16874145";0,493;Q1;17;0;42;0;73;41;1,61;0,00;Germany;"Springer Verlag";"2006-ongoing";"Computer Science (miscellaneous) (Q1); Multidisciplinary (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Computational Mathematics (Q2); Computer Science Applications (Q2); Medicine (miscellaneous) (Q2); Signal Processing (Q2); Statistics and Probability (Q3)"
17;19700200807;"Research in Science and Technological Education";journal;"14701138, 02635143";0,467;Q1;13;40;69;1920;73;67;1,00;48,00;United Kingdom;"Taylor and Francis Inc.";"1983-1995, 2010-ongoing";"Multidisciplinary (Q1); Education (Q2)"
18;27733;"Latin American Research Review";journal;"00238791, 15424278";0,460;Q1;42;44;148;2580;104;137;0,75;58,64;United States;"University of Texas Press";"1970, 1978-ongoing";"Cultural Studies (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); History (Q1); Literature and Literary Theory (Q1); Multidisciplinary (Q1); Anthropology (Q2); Arts and Humanities (miscellaneous) (Q2); Development (Q2); Geography, Planning and Development (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
19;5000157301;"Transactions of the Royal Society of South Africa";journal;"0035919X";0,457;Q1;20;28;75;1329;101;69;1,63;47,46;United Kingdom;"Taylor and Francis Ltd.";"1909-1910, 1913-1915, 1917-1919, 1921-1926, 1928-1940, 1942-1943, 1945-1949, 1951, 1954-1964, 1967-1972, 1974-1990, 1992-2013, 2015-ongoing";"Multidisciplinary (Q1); Agricultural and Biological Sciences (miscellaneous) (Q2); Earth and Planetary Sciences (miscellaneous) (Q2); Environmental Science (miscellaneous) (Q2); Medicine (miscellaneous) (Q2)"
20;86891;"Journal of King Saud University - Science";journal;"10183647";0,434;Q1;27;267;205;4359;518;170;2,94;16,33;Saudi Arabia;"King Saud University";"1994, 2009-ongoing";"Multidisciplinary (Q1)"
21;21100228569;"SpringerPlus";journal;"21931801";0,431;Q1;33;0;3028;0;5263;2997;1,78;0,00;Germany;"Springer Science and Business Media Deutschland GmbH";"2012-ongoing";"Multidisciplinary (Q1)"
22;21100411756;"Heliyon";journal;"24058440";0,426;Q1;11;593;456;26528;746;450;1,65;44,74;Netherlands;"Elsevier BV";"2015-ongoing";"Multidisciplinary (Q1)"
23;22251;"Pacific Science";journal;"15346188, 00308870";0,424;Q1;38;38;111;1851;108;110;0,88;48,71;United States;"University of Hawaii Press";"1979-ongoing";"Multidisciplinary (Q1)"
24;21100324700;"Kuwait Journal of Science";journal;"23074108, 23074116";0,402;Q1;9;47;156;1093;148;156;0,85;23,26;Kuwait;"Kuwait University";"2013-ongoing";"Multidisciplinary (Q1)"
25;23030;"Journal of the Royal Society of New Zealand";journal;"03036758";0,391;Q1;35;25;85;1486;67;78;0,76;59,44;United Kingdom;"Taylor & Francis";"1971-ongoing";"Multidisciplinary (Q1)"
26;19400157273;"European Journal of Science and Theology";journal;"18410464, 18428517";0,377;Q1;14;85;403;2079;198;392;0,59;24,46;Romania;"Acad Organisation Environmental Engineering & Sustainable Development";"2008-ongoing";"Engineering (miscellaneous) (Q1); Multidisciplinary (Q1); Religious Studies (Q1); History and Philosophy of Science (Q2)"
27;21100372856;"Data in Brief";journal;"23523409";0,366;Q1;17;1609;1863;14885;1716;1857;0,97;9,25;Netherlands;"Elsevier BV";"2014-ongoing";"Multidisciplinary (Q1); Education (Q2)"
28;18659;"Anais da Academia Brasileira de Ciencias";journal;"00013765, 16782690";0,360;Q1;51;304;654;13782;773;637;1,02;45,34;Brazil;"Academia Brasileira de Ciencias";"1949, 1970-1992, 1994-ongoing";"Multidisciplinary (Q1)"
29;25522;"Tsinghua Science and Technology";journal;"10070214";0,360;Q1;35;65;190;1864;440;189;2,33;28,68;China;"Tsinghua University Press";"2003-ongoing";"Multidisciplinary (Q1)"
30;5600155094;"Perspectives on Science";journal;"10636145, 15309274";0,359;Q2;21;30;86;1374;59;81;0,72;45,80;United States;"MIT Press Journals";"1999-ongoing";"History and Philosophy of Science (Q2); Multidisciplinary (Q2)"
31;26207;"Xinan Jiaotong Daxue Xuebao/Journal of Southwest Jiaotong University";journal;"02582724";0,359;Q2;19;167;475;3038;294;475;0,53;18,19;China;"Science Press";"1991, 1998, 2001-ongoing";"Multidisciplinary (Q2)"
32;13951;"Arabian Journal for Science and Engineering";journal;"13198025";0,320;Q2;33;632;1139;22978;1950;1133;1,70;36,36;Germany;"Springer Verlag";"1981, 2003-ongoing";"Multidisciplinary (Q2)"
33;23649;"Journal of Scientific and Industrial Research";journal;"09751084, 00224456";0,306;Q2;46;7;224;157;135;222;0,68;22,43;India;"Scientific Publishers";"1969-1970, 1972-1976, 1978, 1980, 1983-1991, 1994-ongoing";"Multidisciplinary (Q2)"
34;20300195074;"ASM Science Journal";journal;"18236782";0,300;Q2;3;98;27;2053;21;25;0,19;20,95;Malaysia;"Akademi Sains Malaysia";"2011-ongoing";"Multidisciplinary (Q2)"
35;1300147101;"Foundations of Science";journal;"12331821";0,292;Q2;21;64;146;2507;109;136;0,71;39,17;Netherlands;"Springer Netherlands";"1995, 1997-2002, 2005-ongoing";"History and Philosophy of Science (Q2); Multidisciplinary (Q2)"
36;19700201672;"Journal of the Association of Arab Universities for Basic and Applied Sciences";journal;"22131574, 18153852";0,292;Q2;17;0;120;0;233;118;1,98;0,00;Bahrain;"Elsevier BV";"2010-ongoing";"Agricultural and Biological Sciences (miscellaneous) (Q2); Multidisciplinary (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Chemistry (miscellaneous) (Q3); Energy (miscellaneous) (Q3); Environmental Science (miscellaneous) (Q3); Materials Science (miscellaneous) (Q3); Mathematics (miscellaneous) (Q3)"
37;22386;"Hunan Daxue Xuebao/Journal of Hunan University Natural Sciences";journal;"10002472";0,291;Q2;13;274;768;5030;366;768;0,45;18,36;China;"Hunan Daxue/Hunan University";"1992-1993, 1996, 2001-ongoing";"Multidisciplinary (Q2)"
38;145331;"Brazilian Archives of Biology and Technology";journal;"15168913";0,278;Q2;40;48;292;1422;278;283;0,63;29,63;Brazil;"Instituto de Tecnologia do Parana";"1998-ongoing";"Multidisciplinary (Q2)"
39;20699;"Current Science";journal;"00113891";0,272;Q2;104;776;2251;17551;1431;1440;0,85;22,62;India;"Indian Academy of Sciences";"1947-1951, 1973-1989, 1993-ongoing";"Multidisciplinary (Q2)"
40;23716;"Science, Technology and Society";journal;"09717218";0,272;Q2;20;26;74;1041;77;70;0,88;40,04;India;"Sage Publications India Pvt Ltd.";"1996-ongoing";"Multidisciplinary (Q2)"
41;25490;"Tongji Daxue Xuebao/Journal of Tongji University";journal;"0253374X";0,262;Q2;28;280;862;4808;371;862;0,36;17,17;China;"Science Press";"1999-ongoing";"Multidisciplinary (Q2)"
42;23049;"Issues in Science and Technology";journal;"07485492";0,251;Q2;27;0;135;0;75;70;1,52;0,00;United States;"University of Texas at Dallas";"1985-1999, 2001-ongoing";"Multidisciplinary (Q2)"
43;22447;"Journal of the Indian Institute of Science";journal;"00194964";0,248;Q2;25;25;106;1861;100;91;0,77;74,44;India;"Indian Institute of Science";"1974, 1976-1978, 1983-1984, 1988, 1995-ongoing";"Multidisciplinary (Q2)"
44;6500153124;"Theology and Science";journal;"14746719, 14746700";0,245;Q2;11;43;123;854;35;103;0,33;19,86;United Kingdom;"Routledge";"2003-ongoing";"Religious Studies (Q1); History and Philosophy of Science (Q2); Multidisciplinary (Q2)"
45;21100446263;"2016 AIAA Guidance, Navigation, and Control Conference";conference and proceedings;"00002016";0,241;-;9;0;238;0;222;237;0,94;0,00;United States;"";"2016";"Aerospace Engineering; Control and Systems Engineering; Electrical and Electronic Engineering; Multidisciplinary"
46;23697;"Science Progress";journal;"00368504";0,240;Q2;31;11;84;707;74;66;1,33;64,27;United Kingdom;"Science Reviews Ltd.";"1948-1949, 1960-1961, 1963, 1965-1972, 1974-1993, 1995-ongoing";"Multidisciplinary (Q2)"
47;19700166903;"Universitas Scientiarum";journal;"01227483";0,234;Q2;8;18;51;694;30;51;0,52;38,56;Colombia;"Pontificia Universidad Javeriana";"2009-ongoing";"Multidisciplinary (Q2)"
48;145365;"Jilin Daxue Xuebao (Gongxueban)/Journal of Jilin University (Engineering and Technology Edition)";journal;"16715497";0,233;Q2;17;245;871;3896;365;871;0,43;15,90;China;"Jilin University";"2005-ongoing";"Multidisciplinary (Q2)"
49;23531;"Sadhana - Academy Proceedings in Engineering Sciences";journal;"09737677, 02562499";0,231;Q2;43;212;443;7572;462;438;1,00;35,72;India;"Springer India";"1984-ongoing";"Multidisciplinary (Q2)"
50;7700153224;"Sains Malaysiana";journal;"01266039";0,228;Q2;23;348;732;11766;544;732;0,65;33,81;Malaysia;"Universiti Kebangsaan Malaysia";"2006-ongoing";"Multidisciplinary (Q2)"
51;3900148513;"Journal of Applied Sciences";journal;"18125654, 18125662";0,221;Q2;33;0;16;0;19;16;0,00;0,00;Pakistan;"Asian Network for Scientific Information";"2006-2013 (cancelled)";"Multidisciplinary (Q2)"
52;61482;"Liaoning Gongcheng Jishu Daxue Xuebao (Ziran Kexue Ban)/Journal of Liaoning Technical University (Natural Science Edition)";journal;"10080562";0,220;Q2;15;155;790;2289;161;790;0,16;14,77;China;"Liaoning Technical University";"2001-ongoing";"Multidisciplinary (Q2)"
53;19700173166;"Acta Polytechnica Hungarica";journal;"20642687, 17858860";0,215;Q2;25;67;302;2172;396;296;1,51;32,42;Hungary;"Obuda University";"2004-ongoing";"Engineering (miscellaneous) (Q2); Multidisciplinary (Q2)"
54;19700170618;"Maejo International Journal of Science and Technology";journal;"19057873";0,213;Q2;14;18;87;529;43;80;0,45;29,39;Thailand;"Maejo University";"2009-ongoing";"Multidisciplinary (Q2)"
55;18761;"Advances in Complex Systems";journal;"02195259";0,211;Q2;27;29;54;1428;43;53;0,94;49,24;Singapore;"World Scientific Publishing Co";"2004-ongoing";"Multidisciplinary (Q2); Control and Systems Engineering (Q3)"
56;19298;"American Scientist";trade journal;"00030996";0,210;Q2;56;0;62;0;33;62;0,29;0,00;United States;"Sigma XI";"1948-1949, 1961-ongoing";"Multidisciplinary (Q2)"
57;75573;"Tianjin Daxue Xuebao (Ziran Kexue yu Gongcheng Jishu Ban)/Journal of Tianjin University Science and Technology";journal;"04932137";0,209;Q2;17;187;595;3627;215;595;0,29;19,40;China;"Tianjin Daxue/Tianjin University";"1982-1988, 2003-ongoing";"Multidisciplinary (Q2)"
58;31728;"Comptes Rendus de l 'Academie Bulgare des Sciences";journal;"13101331";0,205;Q2;16;206;622;3293;196;622;0,35;15,99;Bulgaria;"Academic Publishing House";"1977-1985, 2007-ongoing";"Multidisciplinary (Q2)"
59;19900191611;"Modern Applied Science";journal;"19131852, 19131844";0,202;Q2;21;0;153;0;160;153;0,00;0,00;Canada;"Canadian Center of Science and Education";"2011-2015 (cancelled)";"Multidisciplinary (Q2)"
